frame_index,video_time_seconds,inference_ms,raw_detection_count,duplicate_boxes_removed,before_counted,after_counted,before_ignored,after_ignored,before_max_density,after_max_density,boundary_status_overrides
8250,275.0,483.079,3,0,3,3,0,0,1.0,1.0,0
8280,276.0,470.083,3,0,3,3,0,0,1.0,1.0,0
8310,277.0,464.197,3,0,3,3,0,0,1.0,1.0,0
8340,278.0,469.09,3,0,3,3,0,0,1.0,1.0,0
8370,279.0,470.204,3,0,3,3,0,0,1.0,1.0,0
8400,280.0,488.357,3,0,3,3,0,0,1.0,1.0,0
8430,281.0,473.421,3,0,3,3,0,0,1.0,1.0,0
8460,282.0,529.576,3,0,3,3,0,0,1.0,1.0,0
8490,283.0,472.639,3,0,3,3,0,0,2.0,2.0,0
8520,284.0,472.943,3,0,3,3,0,0,2.0,2.0,0
8550,285.0,467.01,3,0,3,3,0,0,2.0,2.0,0
8580,286.0,472.146,3,0,3,3,0,0,2.0,2.0,0
8610,287.0,468.603,4,0,4,4,0,0,3.0,3.0,0
8640,288.0,477.081,2,0,2,2,0,0,1.0,1.0,0
8670,289.0,475.655,3,0,3,3,0,0,2.0,2.0,0
8700,290.0,479.238,2,0,2,2,0,0,1.0,1.0,0
8730,291.0,479.727,2,0,2,2,0,0,1.0,1.0,0
8760,292.0,477.363,2,0,2,2,0,0,1.0,1.0,0
8790,293.0,526.012,2,0,2,2,0,0,1.0,1.0,0
8820,294.0,468.318,3,0,3,3,0,0,1.0,1.0,0
8850,295.0,470.267,3,0,3,3,0,0,1.0,1.0,0
8880,296.0,484.069,4,0,4,4,0,0,2.0,2.0,0
8910,297.0,479.841,3,0,3,3,0,0,2.0,2.0,0
8940,298.0,479.349,3,0,3,3,0,0,1.0,1.0,0
8970,299.0,472.1,3,0,3,3,0,0,1.0,1.0,0
9000,300.0,517.516,3,0,3,3,0,0,1.1765,1.1765,0
9030,301.0,480.516,3,0,3,3,0,0,1.1765,1.1765,0
9060,302.0,481.165,3,0,3,3,0,0,1.1765,1.1765,0
9090,303.0,485.165,3,0,3,3,0,0,1.1765,1.1765,0
9120,304.0,473.414,3,0,3,3,0,0,1.1765,1.1765,0
9150,305.0,481.662,3,0,3,3,0,0,1.1765,1.1765,0
9180,306.0,478.278,3,0,3,3,0,0,1.1765,1.1765,0
9210,307.0,480.627,3,0,3,3,0,0,1.1765,1.1765,0
9240,308.0,482.504,3,0,3,3,0,0,1.1765,1.1765,0
9270,309.0,475.403,3,0,3,3,0,0,1.0,1.0,0
9300,310.0,492.072,2,0,2,2,0,0,1.0,1.0,0
9330,311.0,498.968,4,0,4,4,0,0,3.0,3.0,0
9360,312.0,611.795,3,0,3,3,0,0,1.0,1.0,0
9390,313.0,725.455,3,0,3,3,0,0,1.0,1.0,0
9420,314.0,683.341,3,0,3,3,0,0,2.0,2.0,0
9450,315.0,650.501,3,0,3,3,0,0,2.0,2.0,0
9480,316.0,586.394,3,0,3,3,0,0,1.0,1.0,0
9510,317.0,539.152,3,0,3,3,0,0,1.0,1.0,0
9540,318.0,524.388,3,0,3,3,0,0,2.0,2.0,0
9570,319.0,530.494,3,0,3,3,0,0,2.0,2.0,0
9600,320.0,511.64,3,0,3,3,0,0,1.0,1.0,0
9630,321.0,648.36,3,0,3,3,0,0,1.0,1.0,0
9660,322.0,624.731,3,0,3,3,0,0,1.0,1.0,0
9690,323.0,598.235,3,0,3,3,0,0,1.1765,1.1765,0
9720,324.0,629.466,3,0,3,3,0,0,1.1765,1.1765,0
9750,325.0,625.075,3,0,3,3,0,0,1.1765,1.1765,0
9780,326.0,519.732,3,0,3,3,0,0,1.1765,1.1765,0
9810,327.0,517.059,3,0,3,3,0,0,1.1765,1.1765,0
9840,328.0,507.089,3,0,3,3,0,0,1.1765,1.1765,0
9870,329.0,508.584,4,1,4,3,0,0,2.0,1.1765,0
9900,330.0,652.825,3,0,3,3,0,0,1.1765,1.1765,0
9930,331.0,528.372,3,0,3,3,0,0,1.1765,1.1765,0
9960,332.0,504.202,3,0,3,3,0,0,1.1765,1.1765,0
9990,333.0,529.756,3,0,3,3,0,0,1.1765,1.1765,0
10020,334.0,514.092,3,0,3,3,0,0,1.1765,1.1765,0
10050,335.0,508.47,3,0,3,3,0,0,1.1765,1.1765,0
10080,336.0,518.17,3,0,3,3,0,0,1.1765,1.1765,0
10110,337.0,524.186,3,0,3,3,0,0,1.1765,1.1765,0
10140,338.0,523.154,3,0,3,3,0,0,1.1765,1.1765,0
10170,339.0,517.12,3,0,3,3,0,0,1.1765,1.1765,0
10200,340.0,516.431,3,0,3,3,0,0,1.1765,1.1765,0
10230,341.0,514.67,3,0,3,3,0,0,1.1765,1.1765,0
10260,342.0,539.99,3,0,3,3,0,0,1.1765,1.1765,0
10290,343.0,685.224,3,0,3,3,0,0,1.1765,1.1765,0
10320,344.0,626.367,3,0,3,3,0,0,1.1765,1.1765,0
10350,345.0,703.171,3,0,3,3,0,0,1.1765,1.1765,0
10380,346.0,645.625,3,0,3,3,0,0,1.1765,1.1765,0
10410,347.0,847.96,3,0,3,3,0,0,1.1765,1.1765,0
10440,348.0,1135.453,3,0,3,3,0,0,1.0,1.0,0
10470,349.0,1285.551,3,0,3,3,0,0,2.0,2.0,0
10500,350.0,1400.743,3,0,3,3,0,0,1.0,1.0,0
10530,351.0,1570.213,3,0,3,3,0,0,1.0,1.0,0
10560,352.0,1383.171,3,0,3,3,0,0,1.0,1.0,0
10590,353.0,1157.354,3,0,3,3,0,0,1.0,1.0,0
10620,354.0,954.145,3,0,3,3,0,0,1.0,1.0,0
10650,355.0,936.27,3,0,3,3,0,0,1.0,1.0,0
10680,356.0,930.803,3,0,3,3,0,0,1.0,1.0,0
10710,357.0,841.316,3,0,3,3,0,0,1.0,1.0,0
10740,358.0,707.169,3,0,3,3,0,0,1.0,1.0,0
10770,359.0,625.081,3,0,3,3,0,0,1.0,1.0,0
10800,360.0,701.46,3,0,3,3,0,0,1.0,1.0,0
10830,361.0,748.653,3,0,3,3,0,0,1.0,1.0,0
10860,362.0,762.739,3,0,3,3,0,0,1.0,1.0,0
10890,363.0,627.828,3,0,3,3,0,0,1.0,1.0,0
10920,364.0,645.738,3,0,3,3,0,0,1.0,1.0,0
10950,365.0,752.823,3,0,3,3,0,0,1.0,1.0,0
10980,366.0,587.526,3,0,3,3,0,0,1.0,1.0,0
11010,367.0,654.509,3,0,3,3,0,0,1.0,1.0,0
11040,368.0,541.835,3,0,3,3,0,0,1.0,1.0,0
11070,369.0,992.842,3,0,3,3,0,0,1.0,1.0,0
11100,370.0,889.48,3,0,3,3,0,0,1.0,1.0,0
11130,371.0,802.986,3,0,3,3,0,0,1.0,1.0,0
11160,372.0,706.938,3,0,3,3,0,0,1.0,1.0,0
